target,ids,date,flag,user,text,text_processed
0,1957625794,Fri May 29 01:05:16 PDT 2009,NO_QUERY,emmaplowman,my thumb hurts after breaking the nail.... ,"['thumb', 'hurt', 'break']"
4,2001655814,Tue Jun 02 01:37:00 PDT 2009,NO_QUERY,Karen_theArtist,"@amymacdonald1 Congrats on the 4x platinum  It's a fantastic album, one of my favs","['amymacdonald', 'congrat', 'x', 'platinum', 'fantast', 'album', 'fav']"
4,1979863257,Sun May 31 04:48:37 PDT 2009,NO_QUERY,oliviaa_m,"@JosephFrost Yeahh, that would be pretty awesome. ","['josephfrost', 'yeahh', 'would', 'pretti', 'awesom']"
4,1835117151,Mon May 18 05:11:04 PDT 2009,NO_QUERY,ehight,@benlizzotte so i think you should work for the discovery channel b/c then it would be media AND sharks! ,"['benlizzott', 'think', 'work', 'discoveri', 'channel', 'b', 'would', 'medium', 'shark']"
0,1557912015,Sun Apr 19 06:32:32 PDT 2009,NO_QUERY,FaeriBex,"@paddyrules home is mums house lol hm maddens could be a plan, am actually stone cold broke atm tho not even sure i could afford door fee ","['paddyrul', 'home', 'mum', 'hous', 'lol', 'hm', 'madden', 'could', 'plan', 'actual', 'stone', 'cold', 'broke', 'atm', 'tho', 'even', 'sure', 'could', 'afford', 'fee']"
0,2229785405,Thu Jun 18 16:12:13 PDT 2009,NO_QUERY,GiuliaNapo,@MandyyJirouxx that page doesn't exist ,"['mandyyjirouxx', 'page', 'exist']"
0,1965929390,Fri May 29 16:48:18 PDT 2009,NO_QUERY,kentz,fighting a cold. ,"['fight', 'cold']"
0,2058242097,Sat Jun 06 14:32:59 PDT 2009,NO_QUERY,meimAsinglecell,@greeleyalex  aw im jealous! I miss home. I wish I could be home in CG right now! Watching spanish tv with my Gparents,"['greeleyalex', 'aw', 'jealou', 'miss', 'home', 'wish', 'could', 'home', 'cg', 'right', 'watch', 'spanish', 'tv', 'gparent']"
0,2061711951,Sat Jun 06 21:26:57 PDT 2009,NO_QUERY,CaitEggers,@aleshacal my phone is dying  no charger here!,"['aleshac', 'phone', 'charger']"
4,1687278214,Sun May 03 08:15:50 PDT 2009,NO_QUERY,SpiderTre,@mileycyrus Green Day new cd on the 15th and you on the 16th. woo!! ,"['mileycyru', 'green', 'day', 'new', 'cd', 'th', 'th', 'woo']"
0,2049700845,Fri Jun 05 17:20:38 PDT 2009,NO_QUERY,helloabi,my tv always freezes while i'm watching inbetweeners ,"['tv', 'alway', 'freez', 'watch', 'inbetween']"
0,1833398181,Sun May 17 23:09:44 PDT 2009,NO_QUERY,b3lt3r,@softjunebreeze Ex-factor.... Me too ,['softjunebreez']
0,1558501113,Sun Apr 19 08:34:08 PDT 2009,NO_QUERY,KaiRutlin, Back to school on Monday...Well I did get an iPod Touch. @shmuxel + @randomized180 See yah tomorrow then I guess ,"['back', 'school', 'get', 'ipod', 'touch', 'shmuxel', 'random', 'see', 'yah', 'tomorrow', 'guess']"
0,2214200315,Wed Jun 17 16:24:30 PDT 2009,NO_QUERY,ChelseyFlood,@LisaAnneWest i missed it  have to catch up on sunday ohh ye so  fancy ldn on sunday? xoxo,"['lisaannewest', 'miss', 'catch', 'sunday', 'ohh', 'ye', 'fanci', 'ldn', 'sunday', 'xoxo']"
0,2185161798,Mon Jun 15 16:58:43 PDT 2009,NO_QUERY,personified,tried to check out your site @poeticmindset ... not working ,"['check', 'site', 'poeticmindset', 'work']"
4,2039698910,Thu Jun 04 22:35:04 PDT 2009,NO_QUERY,marchurtubise,Watching Wayne Dyer's new program on PBS &quot;Excuses Begone!&quot;. Lower mainlanders can check it out on ch. 27 or 204 on Shaw! Peace ,"['watch', 'wayn', 'dyer', 'new', 'program', 'pb', 'quot', 'excus', 'begon', 'quot', 'lower', 'mainland', 'check', 'ch', 'shaw', 'peac']"
0,2072444681,Sun Jun 07 21:02:16 PDT 2009,NO_QUERY,jenjnyjen,pimples attack! Arghhhhhhhhh ,"['pimpl', 'attack', 'arghhhhhhhhh']"
0,2261274687,Sat Jun 20 20:32:07 PDT 2009,NO_QUERY,alyssaanciro,"has to pack, stillll. and doesn't want to.. ","['pack', 'stillll']"
0,2060437840,Sat Jun 06 18:54:23 PDT 2009,NO_QUERY,Jadame_Tamuli,@snikkins How dare you get some before I have a chance to. You're no longer my friend ,"['snikkin', 'dare', 'get', 'befor', 'chanc', 'longer', 'friend']"
4,1962352792,Fri May 29 10:54:56 PDT 2009,NO_QUERY,Emiaj20,"Can't stop listening to the clips of @Jonasbrothers new album Lines, Vines and Trying Times its so amazing can't wait for the whole thing ","['stop', 'listen', 'clip', 'jonasbroth', 'new', 'album', 'line', 'vine', 'time', 'amaz', 'wait', 'whole', 'thing']"
0,2226461513,Thu Jun 18 11:59:03 PDT 2009,NO_QUERY,JDeyhle,about to pour in orlando ,['orlando']
4,1970812135,Sat May 30 05:17:50 PDT 2009,NO_QUERY,lostluna,"@carriecruz I know! I don't think they air it on any of the cable channels anymore, but you can download them from the net ","['carriecruz', 'know', 'think', 'air', 'ani', 'cabl', 'channel', 'anymor', 'download', 'net']"
4,2070543639,Sun Jun 07 17:53:02 PDT 2009,NO_QUERY,carmenmg5,@AprAnaya  you will !   check the website so you can have an idea as to what product u want to try . I will sent u the email tomorrow ,"['apranaya', 'check', 'websit', 'idea', 'product', 'sent', 'email', 'tomorrow']"
0,2183136501,Mon Jun 15 14:05:40 PDT 2009,NO_QUERY,MollyMonochrome,@annieomnious    can it be fixed?  can we make a new simple one mayb?,"['annieomni', 'fix', 'make', 'new', 'simpl', 'mayb']"
0,2184448107,Mon Jun 15 15:55:35 PDT 2009,NO_QUERY,PinkBellaX,blää i have a headache ,"['bl', 'headach']"
4,2013341939,Tue Jun 02 22:26:54 PDT 2009,NO_QUERY,_mb79_,Has just joined Twitter.. It better be good! ,"['join', 'better', 'good']"
